epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73229,1.67924,3.45409,1.63114,0.00667,1,0.07726,0.02556,1.66906,2.87152,1.84117,2e-05,2e-05,2e-05
2,15.7358,1.19249,3.05947,1.4387,0.00667,1,0.15782,0.11925,1.42043,2.84703,1.7692,5.9406e-05,5.9406e-05,5.9406e-05
3,22.4908,1.13723,3.0563,1.28598,0.00667,1,0.62,0.2125,1.556,2.63154,1.77802,9.802e-05,9.802e-05,9.802e-05
4,29.4569,1.06096,2.84005,1.33273,0.00667,1,0.995,0.36836,1.3673,2.69671,1.63088,0.000135842,0.000135842,0.000135842
5,36.0992,1.23455,2.76821,1.4305,0.00667,1,0.695,0.37117,1.39375,2.64486,1.60919,0.000172872,0.000172872,0.000172872
6,42.4962,0.95807,2.75111,1.15688,0.00667,1,0.66333,0.25063,1.53671,2.74398,1.65182,0.00020911,0.00020911,0.00020911
7,49.4252,0.98555,2.87351,1.14166,0.00667,1,0.14214,0.05925,1.48231,2.85831,1.59799,0.000244556,0.000244556,0.000244556
8,56.1752,1.04021,3.49574,1.16298,0.00667,1,0.11706,0.05741,1.76708,2.81061,1.82533,0.00027921,0.00027921,0.00027921
9,62.7773,0.94464,2.51428,1.17336,0.00667,1,0.06219,0.02999,1.64852,2.91156,1.81486,0.000313072,0.000313072,0.000313072
10,69.6908,0.97431,2.93098,1.00352,0.00667,1,0.05103,0.03322,1.61915,2.93199,1.75357,0.000346142,0.000346142,0.000346142
11,76.2046,0.96688,2.23469,1.11303,0.00667,1,0.05686,0.04075,1.37646,2.9021,1.5701,0.00037842,0.00037842,0.00037842
12,82.838,0.99524,2.23436,1.13323,0.00667,1,0.06439,0.03966,1.50592,2.96105,1.58073,0.000409906,0.000409906,0.000409906
13,90.4951,1.08109,2.36118,1.16745,0.00667,1,0.398,0.12582,1.29147,2.8616,1.65103,0.0004406,0.0004406,0.0004406
14,97.9243,0.91138,2.11348,1.12625,0.00667,1,0.4975,0.25671,1.44478,2.71444,1.54724,0.000470502,0.000470502,0.000470502
15,105.259,0.91382,2.32227,1.10156,0.00667,1,0.398,0.22621,1.06802,2.69081,1.50369,0.000499612,0.000499612,0.000499612
16,113.552,0.93362,1.93468,1.10877,0.00667,1,0.745,0.43198,1.12171,2.62073,1.46271,0.00052793,0.00052793,0.00052793
17,120.481,0.85118,2.02136,1.05615,0.00667,1,0.56167,0.44499,1.14164,2.62631,1.40091,0.000555456,0.000555456,0.000555456
18,127.262,0.9317,1.86293,1.08083,0.00667,1,0.55056,0.48456,0.93478,2.52174,1.27084,0.00058219,0.00058219,0.00058219
19,134.063,0.92784,1.63914,1.03933,0.00667,1,0.25591,0.1803,0.89327,2.4329,1.25988,0.000608132,0.000608132,0.000608132
20,142.604,0.7898,1.76456,0.97173,0.00667,1,0.33083,0.26467,0.86545,2.25128,1.21577,0.000633282,0.000633282,0.000633282
21,150.12,0.98822,1.71705,1.14821,0.00667,1,0.28429,0.23458,0.69702,2.2542,1.05629,0.00065764,0.00065764,0.00065764
22,157.216,0.77555,1.87824,0.94796,0.00667,1,0.199,0.16479,0.63188,2.26457,0.99599,0.000681206,0.000681206,0.000681206
23,164.127,0.9232,1.56983,1.09169,0.19275,0.48188,0.22111,0.17475,0.70379,2.35026,1.07,0.00070398,0.00070398,0.00070398
24,172.396,0.77396,1.51424,1.01916,0.00667,1,0.24875,0.16728,0.80479,2.41267,1.13671,0.000725962,0.000725962,0.000725962
